date,close,ticker
2024-05-06,741.0520629882812,HDFCBANK.NS
2024-05-07,733.021728515625,HDFCBANK.NS
2024-05-08,721.5845947265625,HDFCBANK.NS
2024-05-09,704.4776000976562,HDFCBANK.NS
2024-05-10,709.3616333007812,HDFCBANK.NS
2024-05-13,717.9208984375,HDFCBANK.NS
2024-05-14,720.7328491210938,HDFCBANK.NS
2024-05-15,709.6575317382812,HDFCBANK.NS
2024-05-16,720.3875122070312,HDFCBANK.NS
2024-05-17,722.286865234375,HDFCBANK.NS
2024-05-21,719.6722412109375,HDFCBANK.NS
2024-05-22,719.8695678710938,HDFCBANK.NS
2024-05-23,736.3468017578125,HDFCBANK.NS
2024-05-24,748.4827270507812,HDFCBANK.NS
2024-05-27,753.6627807617188,HDFCBANK.NS
2024-05-28,755.0441284179688,HDFCBANK.NS
2024-05-29,744.0921630859375,HDFCBANK.NS
2024-05-30,747.3234252929688,HDFCBANK.NS
2024-05-31,755.5620727539062,HDFCBANK.NS
2024-06-03,775.6160278320312,HDFCBANK.NS
2024-06-04,731.684814453125,HDFCBANK.NS
2024-06-05,765.5520629882812,HDFCBANK.NS
2024-06-06,769.4493408203125,HDFCBANK.NS
2024-06-07,776.183349609375,HDFCBANK.NS
2024-06-10,770.2387084960938,HDFCBANK.NS
2024-06-11,771.9653930664062,HDFCBANK.NS
2024-06-12,776.5780029296875,HDFCBANK.NS
2024-06-13,779.8340454101562,HDFCBANK.NS
2024-06-14,787.80126953125,HDFCBANK.NS
2024-06-18,793.1786499023438,HDFCBANK.NS
2024-06-19,817.869873046875,HDFCBANK.NS
2024-06-20,823.5431518554688,HDFCBANK.NS
2024-06-21,821.7671508789062,HDFCBANK.NS
2024-06-24,825.0478515625,HDFCBANK.NS
2024-06-25,844.2631225585938,HDFCBANK.NS
2024-06-26,839.40380859375,HDFCBANK.NS
2024-06-27,836.7644653320312,HDFCBANK.NS
2024-06-28,830.6718139648438,HDFCBANK.NS
2024-07-01,841.2291259765625,HDFCBANK.NS
2024-07-02,853.7597045898438,HDFCBANK.NS
2024-07-03,872.5310668945312,HDFCBANK.NS
2024-07-04,852.0578002929688,HDFCBANK.NS
2024-07-05,813.0598754882812,HDFCBANK.NS
2024-07-08,806.7698974609375,HDFCBANK.NS
2024-07-09,807.3372192382812,HDFCBANK.NS
2024-07-10,802.2066040039062,HDFCBANK.NS
2024-07-11,800.1345825195312,HDFCBANK.NS
2024-07-12,800.5292358398438,HDFCBANK.NS
2024-07-15,800.2332763671875,HDFCBANK.NS
2024-07-16,799.073974609375,HDFCBANK.NS
2024-07-18,796.6319580078125,HDFCBANK.NS
2024-07-19,792.9320068359375,HDFCBANK.NS
2024-07-22,810.3218994140625,HDFCBANK.NS
2024-07-23,798.407958984375,HDFCBANK.NS
2024-07-24,791.3286743164062,HDFCBANK.NS
2024-07-25,797.5199584960938,HDFCBANK.NS
2024-07-26,798.2846069335938,HDFCBANK.NS
2024-07-29,791.822021484375,HDFCBANK.NS
2024-07-30,797.001953125,HDFCBANK.NS
2024-07-31,797.1005859375,HDFCBANK.NS
2024-08-01,808.471923828125,HDFCBANK.NS
2024-08-02,818.5111694335938,HDFCBANK.NS
2024-08-05,797.1005859375,HDFCBANK.NS
2024-08-06,789.922607421875,HDFCBANK.NS
2024-08-07,800.9238891601562,HDFCBANK.NS
2024-08-08,810.3958740234375,HDFCBANK.NS
2024-08-09,814.0958251953125,HDFCBANK.NS
2024-08-12,818.9798583984375,HDFCBANK.NS
2024-08-13,790.9092407226562,HDFCBANK.NS
2024-08-14,793.1786499023438,HDFCBANK.NS
2024-08-16,805.1666259765625,HDFCBANK.NS
2024-08-19,804.895263671875,HDFCBANK.NS
2024-08-20,807.9292602539062,HDFCBANK.NS
2024-08-21,802.0586547851562,HDFCBANK.NS
2024-08-22,804.77197265625,HDFCBANK.NS
2024-08-23,801.6885986328125,HDFCBANK.NS
2024-08-26,809.0392456054688,HDFCBANK.NS
2024-08-27,807.9539184570312,HDFCBANK.NS
2024-08-28,807.6332397460938,HDFCBANK.NS
2024-08-29,808.3485717773438,HDFCBANK.NS
2024-08-30,807.5346069335938,HDFCBANK.NS
2024-09-02,802.6258544921875,HDFCBANK.NS
2024-09-03,807.756591796875,HDFCBANK.NS
2024-09-04,809.951904296875,HDFCBANK.NS
2024-09-05,811.7525024414062,HDFCBANK.NS
2024-09-06,807.5592041015625,HDFCBANK.NS
2024-09-09,812.2705688476562,HDFCBANK.NS
2024-09-10,814.1698608398438,HDFCBANK.NS
2024-09-11,810.9879150390625,HDFCBANK.NS
2024-09-12,822.1865234375,HDFCBANK.NS
2024-09-13,821.8658447265625,HDFCBANK.NS
2024-09-16,824.3324584960938,HDFCBANK.NS
2024-09-17,823.2718505859375,HDFCBANK.NS
2024-09-18,836.0984497070312,HDFCBANK.NS
2024-09-19,842.8571166992188,HDFCBANK.NS
2024-09-20,858.989013671875,HDFCBANK.NS
2024-09-23,868.1651000976562,HDFCBANK.NS
2024-09-24,872.2350463867188,HDFCBANK.NS
