ds,ticker,yhat,yhat_lower,yhat_upper,is_forecast
2024-05-06,HDFCBANK.NS,732.4289643629968,703.530811819848,762.8788686466444,False
2024-05-07,HDFCBANK.NS,731.5647547919721,700.1760173186068,761.3309199109692,False
2024-05-08,HDFCBANK.NS,731.5933455680453,700.2756585106382,762.6559870615517,False
2024-05-09,HDFCBANK.NS,730.9503538272362,700.6428080348119,761.2062235434852,False
2024-05-10,HDFCBANK.NS,728.2120693876277,695.2657954706108,756.111658787393,False
2024-05-13,HDFCBANK.NS,727.329553007144,695.5151959703594,758.251320812055,False
2024-05-14,HDFCBANK.NS,727.9891908499721,698.5609127801929,758.5505802082628,False
2024-05-15,HDFCBANK.NS,729.6379422460329,701.5263306348745,759.4664136520219,False
2024-05-16,HDFCBANK.NS,730.6708588545848,701.8661157903321,761.3134508605145,False
2024-05-17,HDFCBANK.NS,729.6239203554283,699.6064171955874,759.0786969177299,False
2024-05-21,HDFCBANK.NS,735.5853226928134,707.5466351585825,765.4959999460173,False
2024-05-22,HDFCBANK.NS,738.4823662423199,709.1691876769602,771.2451993724271,False
2024-05-23,HDFCBANK.NS,740.6004480467384,712.0812181787744,770.6554895920348,False
2024-05-24,HDFCBANK.NS,740.4635986985827,708.8187840976577,772.2740708608013,False
2024-05-27,HDFCBANK.NS,746.025289074918,714.9038981699025,775.1249795542642,False
2024-05-28,HDFCBANK.NS,748.2919020041667,716.8786304755548,779.9058644882818,False
2024-05-29,HDFCBANK.NS,751.2581347777233,721.2245694045599,782.0311094338381,False
2024-05-30,HDFCBANK.NS,753.3227842875027,724.5804729864655,786.4250101237366,False
2024-05-31,HDFCBANK.NS,753.0351736777228,721.0961807622283,784.6349216164034,False
2024-06-03,HDFCBANK.NS,757.8470113748671,726.3841627965115,788.4677873972028,False
2024-06-04,HDFCBANK.NS,759.8638131913714,729.9619002797356,790.8352304604433,False
2024-06-05,HDFCBANK.NS,762.6281707910773,730.7354479232733,793.3709353915654,False
2024-06-06,HDFCBANK.NS,764.5643559705657,734.4548088968999,794.1683503459752,False
2024-06-07,HDFCBANK.NS,764.2436844505994,733.2650976883633,795.4729490384495,False
2024-06-10,HDFCBANK.NS,769.6806282858049,740.1731073823025,800.8494392878887,False
2024-06-11,HDFCBANK.NS,772.1712918668659,742.4203279823996,803.6533290746275,False
2024-06-12,HDFCBANK.NS,775.5398795539701,746.087208241014,805.6028865085576,False
2024-06-13,HDFCBANK.NS,778.2004346447899,747.6148494406012,807.6723708405411,False
2024-06-14,HDFCBANK.NS,778.7084301785015,747.4401664955687,808.6753823060211,False
2024-06-18,HDFCBANK.NS,790.509121761255,761.2994277672149,822.5851568816706,False
2024-06-19,HDFCBANK.NS,794.8330075639678,764.4471338422959,821.212877395525,False
2024-06-20,HDFCBANK.NS,798.3753056565187,769.1496709299266,829.3623486762768,False
2024-06-21,HDFCBANK.NS,799.656613881826,768.3743474700741,827.6582452567006,False
2024-06-24,HDFCBANK.NS,807.5709536790407,780.0026388394264,838.5159353761393,False
2024-06-25,HDFCBANK.NS,810.5070049272408,782.733091389395,842.3309482180707,False
2024-06-26,HDFCBANK.NS,814.0418500176255,784.0681012082212,845.025140684339,False
